"key_quantity","value","meaning","dependent_on_other_kq","dependent_kq","dependent_on_other_fxn_args","fxn_with_other_args"
"cpue.start.year","1980","start year of the CPUE time series",NA,NA,NA,NA
"cpue.units","an estimated index ratio","units for catch per unit effort",NA,NA,NA,NA
"F.FMSY.end.yr",NA,"fishing mortality relative to FMSY in the final year",NA,NA,NA,NA
"F.MSY.terminal","0.07","fishing mortality relative to MSY in the terminal year of fishing mortality",NA,NA,NA,NA
"F.MSY.terminal.max","0.099","upper estimate of fishing mortality relative to MSY of the 95th percentile confidence interval for the terminal year of fishing mortality",NA,NA,NA,NA
"F.MSY.terminal.min","0.041","lower estimate of fishing mortality relative to MSY of the 95th percentile confidence interval for the terminal year of fishing mortality",NA,NA,NA,NA
"F.end.year","2021","final year of the fishing mortality time series",NA,NA,NA,NA
"F.limit",NA,"fishing mortality limit",NA,NA,NA,NA
"F.max","0.177","maximum fishing mortality",NA,NA,NA,NA
"F.min","0.001","minimum fishing mortality",NA,NA,NA,NA
"F.ref.pt","msy","fishing mortality limit reference point",NA,NA,NA,NA
"F.start.year","1889","start year of the fishing mortality time series",NA,NA,NA,NA
"F.target",NA,"target fishing mortality reference point",NA,NA,NA,NA
"F.terminal.est","0.021","fishing mortality during the terminal year of fishing mortality",NA,NA,NA,NA
"F.terminal.max","0.028","upper estimate of fishing mortality of the 95th percentile confidence interval for the terminal year of fishing mortality",NA,NA,NA,NA
"F.terminal.min","0.014","lower estimate of fishing mortality of the 95th percentile confidence interval for the terminal year of fishing mortality",NA,NA,NA,NA
"F.terminal.year","2021","terminal year of fishing mortality",NA,NA,NA,NA
"fecundity.length.max",NA,"maximum fish length for fecundity relationship",NA,NA,NA,NA
"fecundity.length.min",NA,"minimum fish length for fecundity relationship",NA,NA,NA,NA
"fecundity.length.units",NA,"length units for fecundity measurement",NA,NA,NA,NA
"fecundity.max",NA,"maximum observed fecundity",NA,NA,NA,NA
"fecundity.min",NA,"minimum observed fecundity",NA,NA,NA,NA
"fecundity.units",NA,"units for fecundity (number of eggs)",NA,NA,NA,NA
"fork.length.max",NA,"maximum fork length",NA,NA,NA,NA
"fork.length.min",NA,"minimum fork length",NA,NA,NA,NA
"fork.length.units",NA,"units for fork length",NA,NA,NA,NA
"kobe.end.year",NA,"final year displayed on the Kobe plot",NA,NA,NA,NA
"landings.end.year","2020","final year of historical landings data",NA,NA,NA,NA
"landings.max","1318.3","maximum historical landings",NA,NA,NA,NA
"landings.min","0","minimum historical landings",NA,NA,NA,NA
"landings.start.year","1889","start year of historical landings data",NA,NA,NA,NA
"landings.units","mt","units for landings",NA,NA,NA,NA
"M.age.max",NA,"maximum age for natural mortality",NA,NA,NA,NA
"M.age.min",NA,"minimum age for natural mortality",NA,NA,NA,NA
"M.rate.max",NA,"maximum natural mortality rate",NA,NA,NA,NA
"M.rate.min",NA,"minimum natural mortality rate",NA,NA,NA,NA
"mod.fit.abun.end.year",NA,"final year for model fit to abundance index",NA,NA,NA,NA
"mod.fit.abun.start.year",NA,"start year for model fit to abundance index",NA,NA,NA,NA
"mod.fit.catch.end.year",NA,"final year for model fit to catch data",NA,NA,NA,NA
"mod.fit.catch.max",NA,"maximum model estimated catch",NA,NA,NA,NA
"mod.fit.catch.min",NA,"minimum model estimated catch",NA,NA,NA,NA
"mod.fit.catch.start.year",NA,"start year for model fit to catch data",NA,NA,NA,NA
"mod.fit.catch.units",NA,"units for model estimated catch",NA,NA,NA,NA
"mod.fit.discards.end.year",NA,"final year for model fit to discards",NA,NA,NA,NA
"mod.fit.discards.max",NA,"maximum estimated discards",NA,NA,NA,NA
"mod.fit.discards.min",NA,"minimum estimated discards",NA,NA,NA,NA
"mod.fit.discards.start.year",NA,"start year for model fit to discards",NA,NA,NA,NA
"mod.fit.discards.units",NA,"units for estimated discards",NA,NA,NA,NA
"overfished.status.is.isnot",NA,"indicator of overfished status",NA,NA,NA,NA
"overfishing.status.is.isnot",NA,"indicator of overfishing status",NA,NA,NA,NA
"pop.baa.age.max",NA,"maximum age for biomass-at-age data",NA,NA,NA,NA
"pop.baa.age.min",NA,"minimum age for biomass-at-age data",NA,NA,NA,NA
"pop.baa.end.year",NA,"final year for biomass-at-age data",NA,NA,NA,NA
"pop.baa.fish.max",NA,"maximum bubble size for biomass-at-age",NA,NA,NA,NA
"pop.baa.fish.min",NA,"minimum bubble size for biomass-at-age",NA,NA,NA,NA
"pop.baa.start.year",NA,"start year for biomass-at-age data",NA,NA,NA,NA
"pop.naa.age.max","25","maximum age for numbers-at-age data",NA,NA,NA,NA
"pop.naa.age.min","0","minimum age for numbers-at-age data",NA,NA,NA,NA
"pop.naa.end.year","2021","final year for numbers-at-age data",NA,NA,NA,NA
"pop.naa.fish.max","2525.81","maximum bubble size for numbers-at-age",NA,NA,NA,NA
"pop.naa.fish.min","0.013","minimum bubble size for numbers-at-age",NA,NA,NA,NA
"pop.naa.start.year","1887","start year for numbers-at-age data",NA,NA,NA,NA
"proj.catch.end.year",NA,"final year of catch projections",NA,NA,NA,NA
"proj.catch.min",NA,"minimum forecasted catch",NA,NA,NA,NA
"proj.catch.start.year",NA,"start year of catch projections",NA,NA,NA,NA
"proj.catch.units",NA,"units for projected catch",NA,NA,NA,NA
"prop.mat.length.max",NA,"maximum length for maturity schedule",NA,NA,NA,NA
"prop.mat.length.min",NA,"minimum length for maturity schedule",NA,NA,NA,NA
"prop.mat.length.units",NA,"length units for maturity data",NA,NA,NA,NA
"R0",NA,"unfished equilibrium recruitment",NA,NA,NA,NA
"recruit.dev.end.year","2020","final year of recruitment deviations",NA,NA,NA,NA
"recruit.dev.max","1.087","maximum recruitment deviation",NA,NA,NA,NA
"recruit.dev.min","-1.84","minimum recruitment deviation",NA,NA,NA,NA
"recruit.dev.start.year","1889","start year of recruitment deviations",NA,NA,NA,NA
"recruitment.end.year","2021","final year of estimated recruitment",NA,NA,NA,NA
"recruitment.max","5051.62","maximum estimated recruitment",NA,NA,NA,NA
"recruitment.min","156.291","minimum estimated recruitment",NA,NA,NA,NA
"recruitment.start.year","1887","start year of estimated recruitment",NA,NA,NA,NA
"recruitment.units","mt","units for recruitment",NA,NA,NA,NA
"rel.B.max",NA,"maximum relative biomass",NA,NA,NA,NA
"rel.B.min",NA,"minimum relative biomass",NA,NA,NA,NA
"rel.recruitment.max",NA,"maximum relative recruitment (R/R0)",NA,NA,NA,NA
"rel.recruitment.min",NA,"minimum relative recruitment (R/R0)",NA,NA,NA,NA
"rel.ssb.max",NA,"maximum relative spawning biomass",NA,NA,NA,NA
"rel.ssb.min",NA,"minimum relative spawning biomass",NA,NA,NA,NA
"selectivity.end.year","2021","final year for selectivity estimates",NA,NA,NA,NA
"selectivity.start.year","1886","start year for selectivity estimates",NA,NA,NA,NA
"selectivity.type.cap","Age","type of selectivity",NA,NA,NA,NA
"selectivity.type.low","age","type of selectivity (lowercase)",NA,NA,NA,NA
"selectivity.x","years","units for age or length",NA,NA,NA,NA
"selectivity.x.max","25","maximum age or length for gear selectivity",NA,NA,NA,NA
"selectivity.x.min","0","minimum age or length for gear selectivity",NA,NA,NA,NA
"spr.max",NA,"maximum spawning potential ratio",NA,NA,NA,NA
"spr.min",NA,"minimum spawning potential ratio",NA,NA,NA,NA
"spr.ref.pt",NA,"spawning potential ratio reference point",NA,NA,NA,NA
"sr.age.min","0","age of newly recruited fish in SR model",NA,NA,NA,NA
"sr.ssb.max","26443.6","maximum SSB in stock-recruit relationship",NA,NA,NA,NA
"sr.ssb.min","4837.77","minimum SSB in stock-recruit relationship",NA,NA,NA,NA
"sr.ssb.units","mt","units for SSB in stock-recruit relationship",NA,NA,NA,NA
"ssb.end.year","2021","final year of the SSB time series",NA,NA,NA,NA
"ssb.max","26443.6","maximum spawning biomass",NA,NA,NA,NA
"ssb.min","4837.77","minimum spawning biomass",NA,NA,NA,NA
"ssb.ref.pt","msy","spawning biomass reference point",NA,NA,NA,NA
"ssb.start.year","1889","start year of the SSB time series",NA,NA,NA,NA
"ssb.units","mt","units for spawning biomass",NA,NA,NA,NA
"tot.catch.max",NA,"maximum total catch",NA,NA,NA,NA
"tot.catch.min",NA,"minimum total catch",NA,NA,NA,NA
"tot.catch.units",NA,"units for total catch",NA,NA,NA,NA
"total.length.max",NA,"maximum total length",NA,NA,NA,NA
"total.length.min",NA,"minimum total length",NA,NA,NA,NA
"total.length.units",NA,"units for total length",NA,NA,NA,NA
"vonb.age.max",NA,"maximum age for von Bertalanffy growth",NA,NA,NA,NA
"vonb.age.min",NA,"minimum age for von Bertalanffy growth",NA,NA,NA,NA
"vonb.length.max",NA,"maximum length for von Bertalanffy growth",NA,NA,NA,NA
"vonb.length.min",NA,"minimum length for von Bertalanffy growth",NA,NA,NA,NA
"vonb.length.units",NA,"units for length in growth model",NA,NA,NA,NA
"wl.length.max",NA,"maximum length for weight-length relationship",NA,NA,NA,NA
"wl.length.min",NA,"minimum length for weight-length relationship",NA,NA,NA,NA
"wl.length.units",NA,"length units for weight-length conversion",NA,NA,NA,NA
"wl.weight.max",NA,"maximum weight for weight-length relationship",NA,NA,NA,NA
"wl.weight.min",NA,"minimum weight for weight-length relationship",NA,NA,NA,NA
"wl.weight.units",NA,"weight units for weight-length conversion",NA,NA,NA,NA
